num_http,num_get,num_post,num_request_to_malware,other_format_inbetween,fake_format,exe_referer,exe_post,url_entropy,path_num,path_length,path_entropy,param_num,param_length,param_entropy,exe_entropy,exe_functions,exe_virustotal,dns_entropy,dns_availability,dns_email_entropy,dns_alexa,dns_blacklist,dns_tld,results
95,86,9,95,0,0,1,0,0.62300084015,4,13.75,0.292012963732,0,0.0,0.0,7.91441247181,12,0,0.431852795396,0,0.55871778335,1,0,1,1
193,178,15,193,0,0,1,0,0.627238128285,4,13.75,0.292205305829,0,0.0,0.0,7.99963953733,6,0,0.431852795396,0,0.55871778335,1,0,1,1
147,144,3,147,0,0,1,0,0.581832999511,7,5.14285714286,0.189577651602,2,11.0,0.14102784551,7.99854830332,5,0,0.467619158927,0,0.487198366009,1,0,1,1
1,1,0,1,0,0,0,0,0.511097419797,2,10.5,0.368296704998,0,0.0,0.0,7.99500793721,6,1,0.37837334212,0,0.0,1,0,1,1
1,1,0,1,0,0,0,0,0.474104722816,2,15.0,0.373857160631,0,0.0,0.0,7.69758439035,3,4,0.394454881642,0,0.459413859199,0,0,1,1
1,1,0,1,0,0,0,0,0.541508424713,2,23.0,0.417534355607,0,0.0,0.0,7.66770800578,2,0,0.460442800864,1,0,1,0,1,1
157,154,3,157,0,0,1,0,0.639949992692,4,13.75,0.292561573888,0,0.0,0.0,7.98086513661,1,0,0.431852795396,0,0.55871778335,1,0,1,1
27,21,4,27,0,0,1,0,0.583903874395,6,10.3333333333,0.202856582458,0,0.0,0.0,7.83946497879,7,0,0.446010544843,1,0,1,0,1,1
209,203,5,209,0,0,1,0,0.616549162998,7,6.14285714286,0.196055317104,2,12.0,0.149582306865,7.99983956678,7,0,0.467619158927,0,0.487198366009,1,0,1,1
165,161,4,165,0,0,1,0,0.497899462539,2,15.5,0.401838587364,0,0.0,0.0,7.95037550278,13,0,0.479754985873,0,0.446558677749,0,0,1,1
170,169,1,170,0,0,1,0,0.603308792058,7,4.0,0.179056591907,2,9.85714285714,0.139765285462,7.99811064463,5,0,0.441896795832,0,0.487198366009,1,0,1,1
26,21,3,26,0,0,1,0,0.602344428077,6,11.0,0.211194853776,0,0.0,0.0,7.99933541968,6,0,0.446010544843,1,0,1,0,1,1
109,91,18,109,0,0,1,0,0.610288975743,4,13.75,0.287296230556,0,0.0,0.0,7.73498497476,8,1,0.431852795396,0,0.55871778335,1,0,1,1
203,191,12,203,0,0,1,0,0.452706691616,1,23.0,0.43979624692,0,0.0,0.0,7.99892405999,8,4,0.42076140951,0,0.446558677749,1,0,1,1
27,21,4,27,0,0,1,0,0.547989692537,6,11.6666666667,0.200588969403,0,0.0,0.0,7.99895079517,5,0,0.446010544843,1,0,1,0,1,1
26,20,4,26,0,0,1,0,0.563187590322,6,10.6666666667,0.205111209293,0,0.0,0.0,7.99711368531,3,1,0.446010544843,1,0,1,0,1,1
