"Num_of_http_request","Num of get request","Num of post request","Num requests between first html response and malware response","if_there_other_format_between_exe_html","if exist fake_format(Pretending action)","if exist refer_header_for_malware_request","entropy_of_downloadmalware_url","request_parameters","request_parameters_length","Get or Post request","Have_exe_file","entropy_of_exe_file","suspicious functions","vt positive results","availability","DN entropy","result"
"40","20","0","0","1","1","0","0","0","0","0","1","-1","-1","50","-1","-1","0"
"112","52","0","0","1","1","0","0","0","0","0","1","-1","-1","50","-1","-1","0"
"168","76","0","0","1","1","0","0","0","0","0","1","-1","-1","50","-1","-1","0"
"240","112","0","0","1","1","0","0","0","0","0","1","-1","-1","50","-1","-1","0"
"488","236","0","0","1","1","0","0","0","0","0","1","-1","-1","50","-1","-1","0"
"624","304","0","0","1","1","0","0","0","0","0","1","-1","-1","50","-1","-1","0"
"1040","512","0","0","1","1","0","0","0","0","0","1","-1","-1","50","-1","-1","0"
"56","28","0","0","1","1","0","0","0","0","0","1","3.312669379","2","53","-1","-1","0"
"176","88","0","0","1","1","0","0","0","0","0","1","3.312669379","2","55","-1","-1","0"
"512","256","0","0","1","1","0","0","0","0","0","1","3.312669379","2","55","-1","-1","0"
"976","488","0","0","1","1","0","0","0","0","0","1","3.312669379","2","55","-1","-1","0"
"256","12","116","0","1","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","0"
"448","108","116","95","1","0","1","0.521034748","1","23","0","1","-1","-1","58","0","0.504100799","0"
"640","204","116","95","1","0","1","0.521034748","1","23","0","1","-1","-1","58","0","0.504100799","0"
"80","36","0","0","1","1","0","0","0","0","0","1","3.375895966","3","53","-1","-1","0"
"160","72","0","0","1","1","0","0","0","0","0","1","3.375895966","3","53","-1","-1","0"
"32","16","0","0","0","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","0"
"224","112","0","0","0","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","0"
"112","48","8","17","0","0","0","0.496200911","1","21","0","1","-1","-1","56","0","0.4375","0"
"168","76","8","17","0","0","0","0.496200911","1","21","0","1","-1","-1","56","0","0.4375","0"
"592","280","16","273","1","1","0","0.682496694","1","77","0","1","7.930246514","2","51","1","0.46126456","0"
"1184","560","32","273","1","1","0","0.682496694","1","77","0","1","7.930246514","2","51","1","0.46126456","0"
"208","96","8","69","1","0","0","0.485057052","1","11","0","1","6.359074833","2","56","0","0.462852441","0"
"192","88","8","91","1","1","0","0.564997067","1","17","0","1","7.835034083","5","47","1","0.537519142","0"
"96","44","4","43","1","0","0","0.680921106","1","77","0","1","-1","-1","54","1","0.485255639","0"
"944","452","20","245","1","0","0","0.685090923","3","110","0","1","6.767728262","1","54","0","0.415607877","0"
"1064","456","76","245","1","0","0","0.685090923","3","110","0","1","6.767728262","1","54","0","0.415607877","0"
"616","288","20","177","1","0","0","0.556800169","1","30","0","1","6.225902183","1","49","0","0.462230735","0"
"960","440","40","109","1","0","0","0.562004009","1","28","0","1","5.930513315","2","50","0","0.461090237","0"
"264","124","8","0","1","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","0"
"64","32","0","29","1","0","0","0.70590323","4","124","0","1","7.624044996","1","54","0","0.415403936","0"
"216","104","4","0","1","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","0"
"272","132","4","0","1","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","0"
"392","192","4","0","1","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","0"
"440","216","4","0","1","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","0"
"496","244","4","0","1","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","0"
"784","384","8","137","1","0","0","0.537780003","1","25","0","1","6.789851466","2","53","0","0.485022501","0"
"208","96","8","0","1","0","0","0","0","0","0","0","-1","-1","-1","-1","-1","0"
