Sample_name,Num_of_http_request,Num of get request,Num of post request,Num requests between first html response and malware response,Time between first html response and malware response,if_there_other_format_between_exe_html,download_malware_time,if exist fake_format(Pretending action),if exist refer_header_for_malware_request,entropy_of_downloadmalware_url,request_parameters,request_parameters_length,Get or Post request,Have_exe_file,entropy_of_exe_file,suspicious functions,vt positive results,Domain_name,availability,DN entropy,creation date,expiration date,lifetime,country,emails entropy,result
2014/03/14/2014-03-14-Goon-EK-traffic,168,80,4,59,0:00:11,TRUE,0:00:00,FALSE,FALSE,0.540442,1,33,FALSE,TRUE,6.927586185,1,55,albertenglish.com,0,0.481521086,1337832000,1527134400,189302400,840,0.446553912,0
2014/03/15/2014-03-15-Styx-EK-traffic,272,136,0,83,1 day: 0:49:45,TRUE,0:00:00,FALSE,FALSE,0.575022073,1,45,FALSE,TRUE,7.978524544,5,51,5.149.248.85,1,0.336090237,,,,,,0
2014/03/16/2014-03-16-Fiesta-EK-traffic,0,0,0,0,0,TRUE,0,FALSE,FALSE,0,0,0,FALSE,FALSE,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,0
2014/03/17/2014-03-17-Zuponcic-EK-traffic,112,44,12,0,0,TRUE,0,FALSE,FALSE,0,0,0,FALSE,FALSE,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,0
2014/03/18/2014-03-18-Fiesta-EK-traffic,120,60,0,0,0,TRUE,0,FALSE,FALSE,0,0,0,FALSE,FALSE,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,0
2014/03/19/2014-03-19-Goon-EK-traffic,0,0,0,0,0,TRUE,0,FALSE,FALSE,0,0,0,FALSE,FALSE,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,0
2014/03/22/2014-03-22-Fiesta-EK-uses-java-exploit,40,20,0,0,0,TRUE,0,FALSE,FALSE,0,0,0,FALSE,FALSE,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,0
2014/03/22/2014-03-22-Fiesta-EK-uses-java-exploit,104,52,0,0,0,TRUE,0,FALSE,FALSE,0,0,0,FALSE,FALSE,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,0
2014/03/23/2014-03-23-Angler-EK-traffic,48,20,4,0,0,TRUE,0,FALSE,FALSE,0,0,0,FALSE,FALSE,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,0
2014/03/24/2014-03-23-Magnitude-EK-traffic,40,20,0,15,0:02:42,TRUE,0:00:00,FALSE,FALSE,0.515382071,5,65,FALSE,TRUE,6.10569725,0,54,bh4545.wha.la,0,0.366401102,2,2,,840,0.453125,0
2014/03/24/2014-03-23-Magnitude-EK-traffic,168,80,4,39,0:00:02,TRUE,0:00:00,FALSE,FALSE,0.468624357,1,9,FALSE,TRUE,7.155424898,0,52,merayaar.com,0,0.35692357,1470801600,1502337600,31536000,784,0.446558678,0
2014/03/24/2014-03-23-Magnitude-EK-traffic,376,184,4,39,0:00:02,TRUE,0:00:00,FALSE,FALSE,0.468624357,1,9,FALSE,TRUE,7.155424898,0,52,merayaar.com,0,0.35692357,1470801600,1502337600,31536000,784,0.446558678,0
2014/03/25/2014-03-25-Magnitude-EK-traffic,176,88,0,63,0:00:21,TRUE,0:00:00,FALSE,FALSE,0.482636985,1,32,FALSE,TRUE,7.346450914,0,52,67.196.50.155,0,0.332653274,,,,,0.415403936,0
2014/03/26/2014-03-26-Fiesta-EK-traffic,0,0,0,0,0,TRUE,0,FALSE,FALSE,0,0,0,FALSE,FALSE,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,0
2014/03/27/2014-03-27-Nuclear-EK-traffic,48,24,0,17,0:01:08,TRUE,0:00:00,FALSE,FALSE,0.557239946,1,15,FALSE,TRUE,7.087389685,8,50,1159407037-6.summernice-best.ru,0,0.527520947,,,,,,0
2014/03/28/2014-03-28-Fiesta-EK-traffic,184,92,0,0,0,TRUE,0,FALSE,FALSE,0,0,0,FALSE,FALSE,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,0
2014/03/29/2014-03-29-FlashPack-EK-traffic,208,92,8,89,0:00:24,TRUE,0:00:00,FALSE,FALSE,0.5522715,1,17,FALSE,TRUE,7.817194637,5,51,bkapaep35cp5h47qef1lpgl.fm.gen.tr,0,0.526345584,,,,,,0
2014/04/01/2014-04-01-Fiesta-EK-traffic,152,72,4,0,0,TRUE,0,FALSE,FALSE,0,0,0,FALSE,FALSE,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,0
