num_http,num_get,num_post,num_request_to_malware,other_format_inbetween,fake_format,exe_referer,exe_post,url_entropy,path_num,path_length,path_entropy,param_num,param_length,param_entropy,exe_entropy,exe_functions,exe_virustotal,dns_entropy,dns_availability,dns_email_entropy,dns_alexa,dns_blacklist,results
163,161,2,163,0,0,1,0,0.607794101,7,4.571428571,0.165003999,2,10.42857143,0.140459973,6.728192963,9,0,0.441896796,0,0.487198366,1,0,0
145,144,1,145,0,0,1,0,0.618548158,7,6.571428571,0.194810142,2,12.42857143,0.148833125,7.976868681,5,0,0.441896796,0,0.487198366,1,0,0
174,165,9,174,0,0,1,0,0.609209721,7,7.285714286,0.183541996,2,13.14285714,0.151594715,7.894244336,7,0,0.467619159,0,0.487198366,1,0,0
209,203,5,209,0,0,1,0,0.616549163,7,6.142857143,0.196055317,2,12,0.149582307,7.999839567,7,0,0.467619159,0,0.487198366,1,0,0
199,196,3,199,0,0,1,0,0.590485682,7,4.714285714,0.181350697,2,10.57142857,0.14424249,7.999448674,6,1,0.441896796,0,0.487198366,1,0,0
202,192,10,202,0,0,1,0,0.618574502,7,7.857142857,0.203320656,2,13.71428571,0.154740946,7.999462688,7,0,0.441896796,0,0.487198366,1,0,0
223,218,5,223,0,0,1,0,0.602984828,7,5,0.183977193,2,10.85714286,0.137767669,7.99965746,6,2,0.467619159,0,0.487198366,1,0,0
141,140,1,141,0,0,1,0,0.597592133,7,4.571428571,0.187623047,2,10.42857143,0.14344297,7.997454709,2,3,0.441896796,0,0.487198366,1,0,0
147,146,1,147,0,0,1,0,0.612830585,7,5.428571429,0.193230155,2,11.28571429,0.143508446,7.859816174,7,0,0.441896796,0,0.487198366,1,0,0
245,239,5,245,0,0,1,0,0.423022969,2,9,0.335436968,0,0,0,7.995765116,2,0,0.373153505,0,0,1,1,0
301,278,22,301,0,0,1,0,0.628744335,7,6,0.190594103,2,11.85714286,0.145895318,7.997491468,9,0,0.441896796,0,0.487198366,1,0,0
253,241,11,253,0,0,1,0,0.415795047,2,8.5,0.323802056,0,0,0,7.993252469,2,0,0.373153505,0,0,1,1,0
157,155,2,157,0,0,1,0,0.578585318,7,5.285714286,0.189677288,2,11.14285714,0.139601173,7.994842504,2,0,0.441896796,0,0.487198366,1,0,0
152,150,2,152,0,0,1,0,0.601080113,7,6.142857143,0.191415972,2,12,0.142975933,7.994990146,5,1,0.441896796,0,0.487198366,1,0,0
177,160,17,177,0,0,1,0,0.60534306,7,6,0.173815371,2,11.85714286,0.14333379,7.856409052,6,0,0.441896796,0,0.487198366,1,0,0
133,132,1,133,0,0,1,0,0.614446466,7,5.857142857,0.190870034,2,11.71428571,0.147697495,7.945391508,6,1,0.441896796,0,0.487198366,1,0,0
153,148,5,153,0,0,1,0,0.470735156,1,27,0.459355113,0,0,0,7.999230645,8,4,0.42076141,0,0.446558678,1,0,0
234,221,13,234,0,0,1,0,0.599118738,7,4.285714286,0.181800587,2,10.14285714,0.14124701,7.998276495,7,1,0.467619159,0,0.487198366,1,0,0
207,203,4,207,0,0,1,0,0.594494948,7,5.428571429,0.184416781,2,11.28571429,0.141316173,7.998299638,8,0,0.467619159,0,0.487198366,1,0,0
